id,name,price,unit,quantity,description
1,Combo Bắp + Nước #1,135000,Combo,158,
2,Bắp rang bơ #1,52000,Phần,343,
3,Snack Oishi #1,68000,Phần,314,Mỗi theo về.
4,Bắp rang bơ #2,68000,Phần,281,Đó sẽ mỗi.
5,Trà đào #1,40000,Ly,344,
6,Bắp rang bơ #3,38000,Phần,246,Theo được đến rất.
7,Nước suối #1,24000,Ly,362,Như gần và vài như.
8,Snack Oishi #2,42000,Phần,403,
9,Nước suối #2,25000,Chai,166,Các như cái trong về đúng.
10,Bỏng ngô vị Caramel Lớn,30000,Phần,174,
11,7 Up Nhỏ,44000,Chai,469,
12,Trà đào Lớn,30000,Chai,277,Của vài này.
13,7 Up Lớn,44000,Ly,299,Trong như nếu khi trong trong.
14,Bắp rang bơ Vừa,39000,Phần,192,
15,Coca-Cola Nhỏ,55000,Chai,439,
16,Bỏng ngô vị Caramel Nhỏ,62000,Phần,326,
17,Trà đào Nhỏ,64000,Ly,267,Giống hoặc các tôi về.
18,Bắp rang bơ Lớn,59000,Phần,297,
19,Coca-Cola Vừa,65000,Ly,113,Một hoặc nhưng nhiều hoặc.
20,Bỏng ngô vị Caramel Nhỏ #1,41000,Phần,363,
21,Nước suối Nhỏ,64000,Chai,59,
22,Pepsi Lớn,27000,Ly,138,Vài trong cái.
23,Nước suối Nhỏ #1,20000,Ly,189,Như rất hoặc về bên.
24,Pepsi Vừa,34000,Chai,319,Nhưng nào trong và với được.
25,Bỏng ngô vị Caramel Vừa,45000,Phần,373,
26,Trà đào Vừa,22000,Chai,190,Tôi đang mỗi.
27,Bắp rang bơ Lớn #1,51000,Phần,82,
28,Trà đào Lớn #1,32000,Ly,321,
29,Coca-Cola Vừa #1,35000,Chai,249,
30,Combo Bắp + Nước Vừa,91000,Combo,316,
